rental_ym,day_type,station_name,gender,age_group,total_rides,avg_distance_km,avg_duration_min,avg_speed_kmh,avg_exercise,avg_co2
202301,Weekend,"2233. 서초신동아1차아파트 옆",NULL,20대,33,0,229,0,904.49,7.95
202301,Weekend,"2233. 서초신동아1차아파트 옆",NULL,50대,21,0,189,0,639.49,5.18
202301,Weekend,"2233. 서초신동아1차아파트 옆",NULL,60대,7,0,165,0,266.43,2.38
202301,Weekend,"2233. 서초신동아1차아파트 옆",F,30대,8,0,107,0,188.15,1.98
202301,Weekend,"2233. 서초신동아1차아파트 옆",F,50대,19,0,431,0,1136.75,11.98
202301,Weekend,"2233. 서초신동아1차아파트 옆",M,60대,4,0,30,0,170.92,1.4
202301,Weekend,"2235.KT 서초지사 앞",NULL,20대,9,0,72,0,150.46,1.625
202301,Weekend,"2235.KT 서초지사 앞",NULL,30대,4,0,26.5,0,99.83500000000001,0.845
202301,Weekend,"2235.KT 서초지사 앞",NULL,50대,3,0,18,0,47.06,0.4
202301,Weekend,"2235.KT 서초지사 앞",NULL,기타,3,0,37.333333333333336,0,155.15,1.5066666666666666
202302,Weekday,"2373. 개포동역 사거리",NULL,40대,10,0,128.33333333333334,0,472.65333333333336,3.643333333333333
202301,Weekend,"2235.KT 서초지사 앞",F,20대,5,0,57.5,0,173.13,1.775
202302,Weekday,"2373. 개포동역 사거리",NULL,50대,11,0,122.66666666666667,0,391.7,3.6300000000000003
202301,Weekend,"2235.KT 서초지사 앞",M,20대,12,0,123.5,0,523.725,4.245
202302,Weekday,"2373. 개포동역 사거리",F,40대,6,0,119.33333333333333,0,338.2966666666667,3.53
202301,Weekend,"2235.KT 서초지사 앞",M,40대,27,0,370.5,0,716.57,5.025
202301,Weekend,"2235.KT 서초지사 앞",M,기타,3,0,44,0,134.43,1.16
202302,Weekday,"2373. 개포동역 사거리",NULL,20대,60,0,374.5,0,1660.64,14.075
202302,Weekday,"2373. 개포동역 사거리",NULL,30대,33,0,399,0,1100.16,9.75
202301,Weekend,"2235.KT 서초지사 앞",NULL,40대,2,0,34,0,119.62,0.97
202302,Weekday,"2373. 개포동역 사거리",NULL,기타,6,0,78.66666666666667,0,238.64333333333332,2.1533333333333333
202301,Weekend,"2235.KT 서초지사 앞",NULL,60대,2,0,81,0,324.75,2.41
202302,Weekday,"2373. 개포동역 사거리",F,20대,40,0,725.5,0,1434.8449999999998,15.715
202302,Weekday,"2373. 개포동역 사거리",F,30대,29,0,399,0,961.33,9.225
202302,Weekday,"2373. 개포동역 사거리",F,~10대,6,0,89,0,286.34,2.865
202302,Weekday,"2373. 개포동역 사거리",F,기타,6,0,88.5,0,266.605,2.585
202302,Weekday,"2373. 개포동역 사거리",M,20대,133,0,1265.5,0,3716.19,31.495
202301,Weekend,"2235.KT 서초지사 앞",F,30대,5,0,144,0,362.52,4.19
202302,Weekday,"2373. 개포동역 사거리",M,30대,17,0,83.5,0,319.71500000000003,2.545
202301,Weekend,"2235.KT 서초지사 앞",F,기타,1,0,10,0,48.48,0.54
202302,Weekday,"2373. 개포동역 사거리",M,40대,19,0,280,0,1199.24,9.51
202302,Weekday,"2373. 개포동역 사거리",M,~10대,10,0,66,0,257.22,2.15
202301,Weekend,"2235.KT 서초지사 앞",M,30대,10,0,145,0,629.09,4.65
202302,Weekday,"2373. 개포동역 사거리",M,기타,17,0,171.5,0,695.315,6.109999999999999
202301,Weekend,"2235.KT 서초지사 앞",M,50대,19,0,339,0,719.72,6.05
202301,Weekend,"2235.KT 서초지사 앞",M,70대이상,1,0,12,0,38.35,0.35
202301,Weekend,"2235.KT 서초지사 앞",M,~10대,11,0,206,0,262.45,2.21
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,20대,42,0,410,0,1041,9.594999999999999
202302,Weekday,"2373. 개포동역 사거리",NULL,60대,2,0,24,0,93.37,0.75
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,30대,24,0,271,0,772.405,6.63
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,60대,8,0,54.5,0,101.625,0.805
202301,Weekend,"2237.서울남부터미널 대합실 입구",NULL,~10대,2,0,34,0,145.885,1.43
202302,Weekday,"2373. 개포동역 사거리",F,50대,7,0,124,0,406.61,3.86
